City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
55,Idlib,SY,2022-03-21 08:53:30,35.9306,36.6339,43.72,40,100,12.44,overcast clouds,0,0
56,Rawson,AR,2022-03-21 08:53:31,-43.3002,-65.1023,62.11,53,90,24.47,overcast clouds,0,0
57,Sao Filipe,CV,2022-03-21 08:53:31,14.8961,-24.4956,69.37,73,19,11.9,few clouds,0,0
58,Yellowknife,CA,2022-03-21 08:53:31,62.456,-114.3525,27.28,88,75,8.05,broken clouds,0,0
59,Hermanus,ZA,2022-03-21 08:53:32,-34.4187,19.2345,79.81,66,3,10.51,clear sky,0,0
60,Tuktoyaktuk,CA,2022-03-21 08:53:32,69.4541,-133.0374,-23.37,100,98,5.37,overcast clouds,0,0
61,Treinta Y Tres,UY,2022-03-21 08:53:33,-33.2333,-54.3833,52.41,77,0,7.56,clear sky,0,0
62,Hamilton,US,2022-03-21 08:50:05,39.1834,-84.5333,48.72,73,0,5.75,clear sky,0,0
63,Port Shepstone,ZA,2022-03-21 08:53:33,-30.7414,30.455,76.68,63,7,16.08,clear sky,0,0
64,Guerrero Negro,MX,2022-03-21 08:53:33,27.9769,-114.0611,58.48,73,61,19.35,broken clouds,0,0
65,Santa Maria,BR,2022-03-21 08:53:34,-29.6842,-53.8069,54.37,78,0,9.6,clear sky,0,0
66,Whitehorse,CA,2022-03-21 08:53:34,60.7161,-135.0538,24.82,65,75,2.3,broken clouds,0,0
67,Volos,GR,2022-03-21 08:53:35,39.3667,22.9458,45.05,46,89,20.42,overcast clouds,0,0
68,Carnarvon,AU,2022-03-21 08:53:35,-24.8667,113.6333,86.07,58,64,19.57,broken clouds,0,0
69,Vaini,TO,2022-03-21 08:53:36,-21.2,-175.2,77.16,88,100,1.14,overcast clouds,0,0
70,Castro,BR,2022-03-21 08:53:36,-24.7911,-50.0119,57.72,88,100,7.4,overcast clouds,0,0
71,Thatta,PK,2022-03-21 08:53:37,24.7475,67.9235,94.17,11,0,17.34,clear sky,0,0
72,Hilo,US,2022-03-21 08:53:37,19.7297,-155.09,72.25,91,79,5.01,broken clouds,0,0
73,Leningradskiy,RU,2022-03-21 08:53:37,69.3833,178.4167,-8.36,90,15,4.74,few clouds,0,0
74,Polovinnoye,RU,2022-03-21 08:53:38,54.7914,65.9864,30.04,83,97,6.82,overcast clouds,0,0
75,Talnakh,RU,2022-03-21 08:53:38,69.4865,88.3972,6.21,92,41,6.6,scattered clouds,0,0
76,Katherine,AU,2022-03-21 08:53:39,-14.4667,132.2667,97.12,32,100,8.05,overcast clouds,0,0
77,Cockburn Town,TC,2022-03-21 08:53:39,21.4612,-71.1419,77.67,69,55,13.31,broken clouds,0,0
78,Kodiak,US,2022-03-21 08:53:39,57.79,-152.4072,35.11,80,75,13.8,broken clouds,0,0
79,Bairiki,KI,2022-03-21 08:53:40,1.3292,172.9752,82.4,78,40,12.66,scattered clouds,0,0
80,Airai,TL,2022-03-21 08:53:40,-8.9266,125.4092,66.31,90,100,1.45,overcast clouds,0,0
81,Tolmachevo,RU,2022-03-21 08:53:41,54.9824,82.7363,24.78,68,75,13.42,broken clouds,0,0
82,Georgetown,MY,2022-03-21 08:50:04,5.4112,100.3354,87.73,65,20,3.44,few clouds,0,0
83,Kapaa,US,2022-03-21 08:53:41,22.0752,-159.319,75.07,69,86,1.45,overcast clouds,0,0
84,Baduria,IN,2022-03-21 08:53:42,22.7417,88.7858,93.13,20,7,4.99,clear sky,0,0
85,Thompson,CA,2022-03-21 08:50:31,55.7435,-97.8558,12.36,73,0,3.44,clear sky,0,0
86,Yarmouth,US,2022-03-21 08:53:42,41.7057,-70.2286,44.71,84,100,18.01,overcast clouds,0,0
87,Bengkulu,ID,2022-03-21 08:53:43,-3.8004,102.2655,84.52,63,86,7.74,overcast clouds,0,0
88,Metlaltoyuca,MX,2022-03-21 08:53:43,20.7333,-97.85,62.71,90,41,3.51,scattered clouds,0,0
89,Vokhtoga,RU,2022-03-21 08:53:43,58.8147,41.0461,39.07,81,20,9.73,few clouds,0,0
90,Tasiilaq,GL,2022-03-21 08:53:44,65.6145,-37.6368,-7.02,60,3,6.82,clear sky,0,0
91,Olafsvik,IS,2022-03-21 08:53:44,64.8945,-23.7142,33.89,70,100,9.91,overcast clouds,0,0
92,Hobart,AU,2022-03-21 08:53:45,-42.8794,147.3294,67.26,76,75,10.36,broken clouds,0,0
93,Khor,RU,2022-03-21 08:53:45,47.8861,134.9464,19.49,87,35,8.77,scattered clouds,0,0
94,Ponta Delgada,PT,2022-03-21 08:53:46,37.7333,-25.6667,59.72,58,40,25.32,scattered clouds,0,0
95,Lagoa,PT,2022-03-21 08:53:46,39.05,-27.9833,54.25,66,100,30.18,light rain,0,0
96,Cherskiy,RU,2022-03-21 08:53:46,68.75,161.3,10.98,77,100,7.83,overcast clouds,0,0
97,Bredasdorp,ZA,2022-03-21 08:53:47,-34.5322,20.0403,76.95,59,17,10.94,few clouds,0,0
98,Vardo,NO,2022-03-21 08:53:47,70.3705,31.1107,39.18,65,0,24.16,clear sky,0,0
99,Gornopravdinsk,RU,2022-03-21 08:53:48,60.05,69.9,28.81,84,99,4.54,overcast clouds,0,0
100,Henties Bay,NA,2022-03-21 08:53:48,-22.116,14.2845,72.54,73,22,5.93,few clouds,0,0
101,Dingle,PH,2022-03-21 08:53:48,10.9995,122.6711,84.83,68,99,9.93,overcast clouds,0,0
102,Monastyrshchina,RU,2022-03-21 08:53:49,54.3496,31.838,34.83,99,53,6.69,broken clouds,0,0
